npi,lst_nm,frst_nm,gndr,cred,med_sch,grd_yr,pri_spec,quality_score,promoting_interoperability_score,cost_score,improvement_activities_score,overall_mips_score,community_id
1194846345,DONOHOO,JAY,M,,OHIO STATE UNIVERSITY COLLEGE OF MEDICINE,2001.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1841276730,HELMY,MARWAH,F,,"UNIVERSITY OF CALIFORNIA, DAVIS SCHOOL OF MEDICINE",2004.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1992922082,CAVAZOS,CRISTINA,F,,DUKE UNIVERSITY SCHOOL OF MEDICINE,2001.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1194737775,LILE,ROBERT,M,MD,OTHER,1987.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,89.6,40.0,100.0,162
1124003660,HO LAUMANN,NANCY,F,MD,UNIVERSITY OF MARYLAND SCHOOL OF MEDICINE,1997.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1104849827,FLETCHER,JAMES,M,MD,BOSTON UNIVERSITY SCHOOL OF MEDICINE,1990.0,DIAGNOSTIC RADIOLOGY,100.0,,100.0,40.0,100.0,162
1861455198,MILLER,KIMBERLEY,F,MD,"UNIVERSITY OF COLORADO SCHOOL OF MEDICINE, DENVER",1999.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1184891962,ALVI,FOZAIL,M,,MEDICAL UNIVERSITY OF SOUTH CAROLINA COLLEGE OF MEDICINE,2008.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1740221944,KENNEDY,KEIRON,M,,UNIVERSITY OF SOUTH CAROLINA SCHOOL OF MEDICINE,2005.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
1982803532,YACOUB,EMAD,M,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2001.0,DIAGNOSTIC RADIOLOGY,100.0,,100.0,40.0,100.0,162
1033280870,COLE,STEWART,M,,MICHIGAN STATE UNIVERSITY COLLEGE OF OSTEOPATHIC MEDICINE,1975.0,DIAGNOSTIC RADIOLOGY,100.0,100.0,100.0,40.0,100.0,162
