npi,pagerank,indegree,outdegree,community_id,doctor_self_pats,total_pats_in_community,total_doctors_in_community,total_links_in_community
0001053861,5.4835346227487394e-05,0.0,1.0,1,3,279,73,120
6723481261,0.0007556492363079968,16.0,4.0,1,52,279,73,120
0003344500,6.713917627880996e-05,1.0,1.0,2,2,583,89,361
5554544346,0.00044062417625483904,16.0,21.0,2,50,583,89,361
0007369113,0.00018800691697842028,6.0,4.0,3,4,142,55,207
2499851935,0.0015393286346275063,45.0,49.0,3,25,142,55,207
5040521237,0.0027568689725930456,74.0,79.0,4,209,361,78,155
6502930399,0.0034941401854468187,111.0,112.0,5,262,383,37,42
7961400834,0.004263138833544812,130.0,104.0,6,383,530,36,46
0008234489,5.4835346227487394e-05,0.0,2.0,7,3,549,135,263
3559353968,0.0005511195148967967,12.0,4.0,7,14,549,135,263
3840762080,0.00028964467072457075,7.0,7.0,7,3,549,135,263
0009220759,0.00010271564844685171,2.0,2.0,8,2,467,43,51
0676719924,0.0008216914488676294,28.0,17.0,9,118,221,26,43
4738818232,0.0002725072722171062,7.0,3.0,8,3,467,43,51
0011222535,0.00045514551553628836,10.0,4.0,10,7,95,15,55
6708745102,0.0005254627444795533,10.0,0.0,10,3,95,15,55
6786469349,0.0002757767503585572,7.0,18.0,10,7,95,15,55
8046226891,0.0002644481915971802,8.0,4.0,10,4,95,15,55
9845708803,0.0004822276442198105,13.0,2.0,10,5,95,15,55
0013330034,5.4835346227487394e-05,0.0,1.0,11,3,91,13,12
9762148833,0.0005201137584291414,18.0,11.0,11,45,91,13,12
0013350910,0.00019340030400783576,8.0,18.0,12,6,90,49,208
1722110757,0.0012143417134561384,10.0,4.0,12,3,90,49,208
1855174239,0.0002606838863715524,9.0,4.0,12,5,90,49,208
2319138512,8.040367949966329e-05,3.0,4.0,12,4,90,49,208
2395718238,0.0008385586531596391,11.0,0.0,12,3,90,49,208
2452955093,0.00013968694771529568,6.0,1.0,12,2,90,49,208
2953041346,0.0002194755399305777,9.0,1.0,12,2,90,49,208
4378560471,0.0001282332287627535,3.0,0.0,12,3,90,49,208
4454103412,0.0003089372979925684,14.0,25.0,12,18,90,49,208
4508594421,0.00010990111873361249,5.0,1.0,12,5,90,49,208
4672127405,0.00027503192726680773,14.0,19.0,12,7,90,49,208
5345606443,0.00026674449155516785,10.0,5.0,12,8,90,49,208
5866610461,0.00017392653727636324,8.0,0.0,12,2,90,49,208
6594270945,0.00012576973983388678,5.0,8.0,12,5,90,49,208
7107115698,6.985260250857128e-05,2.0,2.0,12,2,90,49,208
7786971911,7.455985058817637e-05,2.0,0.0,12,2,90,49,208
8902854299,0.0002763968795025915,12.0,10.0,12,7,90,49,208
8911541760,0.0011054865303527337,28.0,1.0,12,4,90,49,208
9253986151,9.203367446195001e-05,3.0,0.0,12,2,90,49,208
0018037618,0.0003206152581208528,1.0,1.0,13,4,7,2,2
1854391923,0.0003206152581208528,1.0,1.0,13,5,7,2,2
0020023859,5.4835346227487394e-05,0.0,2.0,14,6,382,100,300
3454080118,0.00014898793843742678,3.0,0.0,14,4,382,100,300
4332659805,0.003774145753756861,85.0,62.0,14,162,382,100,300
0020663231,5.4835346227487394e-05,0.0,1.0,7,3,549,135,263
7585311702,0.00010158597751938291,1.0,1.0,7,4,549,135,263
0027409610,5.4835346227487394e-05,0.0,1.0,15,3,100,56,195
1916403571,0.0002127575697814186,4.0,0.0,15,6,100,56,195
0029881154,5.4835346227487394e-05,0.0,1.0,16,6,283,20,20
5554267915,0.002131970795233894,58.0,69.0,16,228,283,20,20
0032016756,0.00019952552481927879,5.0,15.0,17,20,43,27,51
1073195688,0.00019695267627536825,5.0,0.0,17,2,43,27,51
1810939522,0.000177971879322874,4.0,3.0,18,7,294,46,70
1891348325,6.619973564712844e-05,1.0,0.0,17,2,43,27,51
2295839699,8.178327941109361e-05,2.0,1.0,17,3,43,27,51
4415281831,8.694450426825851e-05,2.0,0.0,17,3,43,27,51
5327872967,0.00010787582934488779,4.0,1.0,17,3,43,27,51
7099156666,0.00010623848994918847,4.0,1.0,17,2,43,27,51
7224738787,0.000152989121241084,5.0,0.0,17,4,43,27,51
7288335467,6.619973564712844e-05,1.0,10.0,17,3,43,27,51
7374350287,0.0002921398162291865,6.0,0.0,17,6,43,27,51
7401181783,6.619973564712844e-05,1.0,0.0,17,4,43,27,51
7854112967,8.95750512930762e-05,2.0,1.0,17,3,43,27,51
8326040393,7.184931387670999e-05,2.0,3.0,17,3,43,27,51
9019522293,6.619973564712844e-05,1.0,0.0,17,2,43,27,51
9390845018,0.00010787582934488777,4.0,1.0,17,2,43,27,51
0038180756,0.000448977166083874,2.0,1.0,19,2,3,3,3
0594418440,0.000458033262051197,1.0,1.0,19,2,3,3,3
0038565104,5.4835346227487394e-05,0.0,1.0,6,4,530,36,46
