source_npi,target_npi,sharedpats,community_id
0001053861,6723481261,2,1
6723481261,1375858961,2,1
6723481261,3517371403,2,
6723481261,7072975387,2,1
6723481261,8698467005,4,1
0003344500,5554544346,2,2
5554544346,0190950031,4,2
5554544346,0650008768,4,2
5554544346,0995395696,2,2
5554544346,1019338398,4,2
5554544346,1033456526,8,2
5554544346,1837147549,2,2
5554544346,2976023127,6,2
5554544346,3265059745,3,
5554544346,3612519765,2,2
5554544346,3939643075,2,2
5554544346,3971749210,5,2
5554544346,4316764103,2,2
5554544346,5907235013,2,2
5554544346,6034231868,2,2
5554544346,6177688905,5,2
5554544346,6249908216,2,2
5554544346,6928984171,2,2
5554544346,7690855207,2,2
5554544346,8083453344,2,2
5554544346,8208965993,7,2
5554544346,9963400954,2,2
0007369113,2499851935,2,3
0007369113,5040521237,2,
0007369113,6502930399,2,
0007369113,7961400834,2,
2499851935,0007369113,2,3
2499851935,0133850179,3,3
2499851935,0259433310,2,3
2499851935,0329757128,5,
2499851935,0714851087,2,3
2499851935,0888901330,3,
2499851935,1052105939,4,
2499851935,1165812291,2,3
2499851935,1263403767,4,3
2499851935,1478905944,2,3
2499851935,1520669726,2,3
2499851935,1613807944,2,3
2499851935,1681203540,2,3
2499851935,1725860914,2,3
2499851935,1969714836,2,3
2499851935,2052541087,3,
2499851935,2304570662,2,3
2499851935,2393787146,3,3
2499851935,2799028853,3,3
2499851935,3090139284,4,3
2499851935,3237747640,2,3
2499851935,3251384600,2,3
2499851935,3256619602,3,3
2499851935,3265059745,2,
2499851935,3346519048,3,
2499851935,3394768593,2,3
2499851935,3455214157,3,3
2499851935,3637554158,2,
2499851935,3643009627,2,3
2499851935,4020437050,3,3
2499851935,4553737148,2,3
2499851935,4909804223,2,3
2499851935,5040521237,2,
2499851935,6502930399,3,
2499851935,6585316279,2,
2499851935,6848412131,2,3
2499851935,6885148322,2,3
2499851935,7646553491,2,3
2499851935,7961400834,4,
2499851935,8207899456,3,
2499851935,8211216124,2,3
2499851935,8273325421,2,
2499851935,8368350787,3,3
2499851935,8433042521,2,3
2499851935,8642677253,2,3
2499851935,9147674533,6,3
2499851935,9371414812,2,3
2499851935,9427602742,2,3
2499851935,9543089470,2,3
5040521237,0103850882,2,
5040521237,0210632566,2,4
5040521237,0329757128,5,
5040521237,0650775195,2,4
5040521237,0832115710,2,4
5040521237,0888901330,17,
5040521237,0941734431,2,
5040521237,1024176525,2,4
5040521237,1052105939,4,
5040521237,1060797507,2,4
5040521237,1070439332,2,
5040521237,1196947042,2,
5040521237,1248871950,2,
5040521237,1295862962,2,4
5040521237,1300584795,2,
5040521237,1512529106,2,4
5040521237,1586197774,2,4
5040521237,1627419782,3,
5040521237,1630195152,2,
5040521237,1655084766,2,
5040521237,1816946469,2,
5040521237,2052541087,9,
5040521237,2482526289,3,
5040521237,2499851935,4,
5040521237,2664995409,2,4
5040521237,2724771845,2,4
5040521237,2824011125,2,4
5040521237,2888234538,2,4
5040521237,2916580309,2,4
5040521237,3136034330,2,4
5040521237,3256619602,3,
5040521237,3265059745,3,
5040521237,3346519048,4,
5040521237,3394768593,2,
5040521237,3484493616,2,4
5040521237,3600029816,2,
5040521237,3635436214,3,4
5040521237,3655638626,2,
5040521237,4227141828,2,4
5040521237,4332659805,5,
5040521237,4424979940,2,
5040521237,4507973545,2,
5040521237,4754331156,2,
5040521237,5014194964,2,
5040521237,5043837914,2,4
5040521237,5255293219,2,
5040521237,5261502394,4,
5040521237,5490087561,2,4
5040521237,5502715774,3,4
5040521237,5734403746,2,
5040521237,5759232852,2,4
5040521237,6136129729,2,4
5040521237,6161870968,2,4
5040521237,6229290839,2,
5040521237,6277421943,2,
5040521237,6472123361,2,4
5040521237,6502930399,5,
5040521237,6555048481,3,4
5040521237,6644155306,2,4
5040521237,6958222965,3,4
5040521237,7073500522,2,
5040521237,7118505582,2,4
5040521237,7890830224,2,4
5040521237,7961400834,9,
5040521237,8074762698,2,4
5040521237,8207899456,6,
5040521237,8263210126,2,4
5040521237,8642677253,2,
5040521237,8804320026,2,
5040521237,8952449931,2,4
5040521237,9087191195,2,4
5040521237,9147674533,2,
5040521237,9427602742,2,
5040521237,9492616168,2,4
