npi,pagerank,indegree,outdegree,community_id,doctor_self_pats,total_pats_in_community,total_doctors_in_community,total_links_in_community
0000186786,7.395107707728865e-05,0.0,1.0,1,2,301,60,77
0244023800,0.002474482372516484,29.0,20.0,1,131,301,60,77
0009094938,0.00022820440709743337,2.0,1.0,2,6,33,10,10
8107505066,0.0002685894162187786,1.0,0.0,2,3,33,10,10
0011222535,0.0002053449496817081,2.0,3.0,3,14,848,55,83
3552796390,0.005296937974765746,89.0,90.0,4,537,782,64,67
7481398045,0.003719725144405401,58.0,50.0,3,372,848,55,83
8046226891,0.00013214362162657483,1.0,0.0,3,5,848,55,83
0011809664,7.395107707728865e-05,0.0,1.0,5,5,9,2,1
6121205867,0.00013692964799230217,1.0,0.0,5,6,9,2,1
0014737323,7.395107707728865e-05,0.0,2.0,6,6,312,16,16
3779248699,0.000167017304758927,3.0,2.0,6,17,312,16,16
8877469710,0.00010544036253479542,1.0,2.0,6,5,312,16,16
0016071950,0.00011181978755637852,1.0,2.0,7,11,78,16,16
0847389377,0.00012161996989514649,1.0,0.0,7,7,78,16,16
5512727669,0.00035542923541840665,6.0,8.0,7,38,78,16,16
0032016756,0.00046422091819862217,3.0,3.0,8,34,57,8,11
0406571902,0.00020688166737350516,1.0,0.0,8,5,57,8,11
1810939522,0.00032199685132750254,3.0,1.0,8,5,57,8,11
9296200223,0.00020688166737350516,1.0,0.0,8,4,57,8,11
0038180756,0.00021514909319864914,1.0,2.0,9,7,8,3,3
2761415286,0.00016620428232306056,1.0,0.0,9,2,8,3,3
3068707084,0.00016620428232306056,1.0,1.0,9,4,8,3,3
0039611603,7.395107707728865e-05,0.0,1.0,10,2,307,53,59
8302896771,0.00013692964799230217,1.0,1.0,10,12,307,53,59
0049880119,0.00016785105325224333,1.0,1.0,11,2,530,36,77
3204358873,0.0005983279912670735,7.0,7.0,11,46,530,36,77
0050391476,7.395107707728865e-05,0.0,1.0,12,2,26,5,4
5333459575,0.00013692964799230217,1.0,1.0,12,14,26,5,4
0051157642,7.395107707728865e-05,0.0,1.0,13,5,16,2,1
0408866899,0.00013692964799230217,1.0,0.0,13,13,16,2,1
0054523386,7.395107707728865e-05,0.0,1.0,14,8,13,2,1
9788022287,0.00013692964799230217,1.0,0.0,14,7,13,2,1
0064311251,0.00011755458093822826,1.0,1.0,15,5,892,102,132
8411898039,0.0023493379129289928,36.0,46.0,15,258,892,102,132
0065485779,7.395107707728865e-05,0.0,1.0,16,2,2,2,1
5384979213,0.00013692964799230217,1.0,0.0,16,2,2,2,1
0066576833,0.00013751042429323697,1.0,1.0,17,23,1130,84,198
6743157602,0.0031306873304108983,50.0,42.0,17,304,1130,84,198
0066883103,0.00013692964799230217,1.0,1.0,18,4,223,34,36
4345160771,0.0015493343222623644,24.0,23.0,18,143,223,34,36
0067186570,0.0004673012275014735,7.0,6.0,19,39,1295,117,246
1033456526,0.0027299259570209957,41.0,39.0,19,254,1295,117,246
3939643075,0.00039782604530390337,6.0,8.0,19,52,1295,117,246
4292249569,0.00024192845420620344,3.0,0.0,19,7,1295,117,246
4316764103,0.0004930466873077658,7.0,2.0,19,26,1295,117,246
5907235013,0.00023972713476482467,3.0,3.0,19,26,1295,117,246
8208965993,0.0010793890771156713,17.0,16.0,19,109,1295,117,246
0068738777,0.0001797358998059396,1.0,1.0,20,3,420,38,47
7692084543,0.0009913434005215925,11.0,8.0,20,175,420,38,47
0069846492,7.395107707728865e-05,0.0,1.0,21,2,968,38,41
2866295111,0.004162054818735484,67.0,59.0,21,606,968,38,41
