source_npi,target_npi,sharedpats,community_id
0000186786,0244023800,2,1
0244023800,0417925297,2,1
0244023800,1016547676,2,1
0244023800,1276404271,2,1
0244023800,3203904229,2,1
0244023800,3377073031,5,1
0244023800,3517371403,6,
0244023800,4065244805,2,1
0244023800,4345160771,2,
0244023800,4712447093,2,
0244023800,5525001406,2,1
0244023800,5851276370,2,1
0244023800,7685704295,3,1
0244023800,7794405919,2,1
0244023800,7841350225,2,1
0244023800,7895804572,3,1
0244023800,8098879143,2,
0244023800,8237741225,2,1
0244023800,8518738629,2,
0244023800,8535256571,2,
0244023800,9021660619,4,
0009094938,8107505066,2,2
0011222535,3552796390,2,
0011222535,7481398045,2,3
0011222535,8046226891,2,3
3552796390,0250584036,6,
3552796390,0357978237,3,4
3552796390,0479815821,2,
3552796390,0760397022,2,4
3552796390,0875059236,2,
3552796390,1134597175,2,
3552796390,1308731628,3,
3552796390,1496804301,2,4
3552796390,1503211517,2,4
3552796390,1716912790,2,
3552796390,1758397045,2,
3552796390,1896967469,2,4
3552796390,2025054862,2,4
3552796390,2199246172,3,
3552796390,2229292566,2,4
3552796390,2484358033,4,
3552796390,2547018389,3,
3552796390,2548164899,2,
3552796390,2740808978,2,4
3552796390,2866295111,11,
3552796390,2918675273,4,
3552796390,2989467602,2,
3552796390,3177196045,5,
3552796390,3240642037,2,4
3552796390,3466077672,2,
3552796390,3655638626,8,
3552796390,3733829210,4,
3552796390,3895932712,2,
3552796390,3896414439,3,
3552796390,3909065948,2,4
3552796390,3974180060,2,
3552796390,4023883735,3,
3552796390,4142990030,2,
3552796390,4328953458,2,4
3552796390,4482363487,7,
3552796390,4594453407,2,
3552796390,4609765291,2,4
3552796390,4668552300,2,4
3552796390,4964220493,2,4
3552796390,5038386362,5,
3552796390,5111491524,13,
3552796390,5546775825,4,
3552796390,5554267915,2,
3552796390,5730655270,9,
3552796390,5859830382,2,
3552796390,5872770182,5,
3552796390,5896135049,2,
3552796390,6027867186,8,
3552796390,6106620363,2,
3552796390,6114036615,3,
3552796390,6200113117,4,
3552796390,6204451115,2,4
3552796390,6207630138,4,
3552796390,6216831317,2,4
3552796390,6239863222,2,
3552796390,6514521253,2,4
3552796390,6584692851,2,
3552796390,6585316279,5,
3552796390,6889915655,3,
3552796390,6938614079,2,
3552796390,7105442111,2,4
3552796390,7223967391,2,4
3552796390,7420054737,2,4
3552796390,7481398045,27,
3552796390,7520567507,2,
3552796390,7554097197,2,4
3552796390,7575344083,2,
